נושא ראשי,נושא משני,תת נושא,תיאור
ניהול רכב,ניהול דגמי רכב,פרמטרים טכניים בסיסיים,"המערכת מנהלת עשרות פרמטרים טכניים לדגמי רכב פרטיים ומסחריים, כולל נפח מנוע, סוג דלק ומשקל."
ניהול רכב,ניהול דגמי רכב,מערכות בטיחות מתקדמות,"תיעוד מערכות בטיחות כמו בקרת סטייה מנתיב, זיהוי הולכי רגל, שטח מת וחיישני חגורות וצמיגים."
ניהול רכב,ניהול דגמי רכב,נתוני איכות סביבה וזיהום אוויר,"ניהול מדד ירוק, פליטות CO2/NOX/PM10 ותקני זיהום כמו תקן יורו ו-WLTP."
ניהול רכב,בעלויות ורישום,סנכרון נתוני דואר ישראל,"קליטת וסנכרון נתונים מחברת דואר ישראל על העברות בעלות, ועדכון פרטי בעלים, שותפים ומחזיקים."
ניהול רכב,בעלויות ורישום,ניהול היסטוריית בעלויות,"אחזור מידע על בעלי רכב, כתובותיהם, שותפים, מיופי כוח ולוגים של העברות בעלות."
ניהול רכב,בעלויות ורישום,תיעוד שינוי בעלות,"רישום קפדני של פרטי קונים, מוכרים, שותפים ומיופי כוח המעורבים בעסקאות מכירה."
ניהול רכב,אוכלוסיות מיוחדות,רכבי נכים ותווי חניה,"טיפול נרחב באוכלוסיית הנכים, כולל הפקת דוחות, סטטיסטיקות, איתור חריגים ותיעוד תווי חניה."
ניהול רכב,אוכלוסיות מיוחדות,נפטרים ואפוטרופסות,"איתור וניהול רכבים הרשומים על שם בעלים שנפטרו, ורישום ומעקב אחר אפוטרופסים חוקיים."
ניהול רכב,אוכלוסיות מיוחדות,"רכבי צה""ל וכוחות הביטחון","תוכניות ייעודיות לגריעה, הוצאה או ביטול של כלי רכב השייכים לצה""ל וכוחות הביטחון."
ניהול רכב,מחזור חיי רכב,ביטולים והורדה מהכביש,"ניהול ביטול רכבים, רישום סיבת הביטול, ביטול של הביטול ואיתור רכבים חסרי מבחן רישוי."
ניהול רכב,מחזור חיי רכב,גריטה,"מעקב אחר רכבים שעברו תהליך גריטה, יצירת קבצים סטטיסטיים ובדיקת זכאות להחזרי אגרות."
ניהול רכב,מחזור חיי רכב,רכב גנוב ואובדן גמור,"איתור רכבים שדווחו כגנובים או כאובדן גמור, בדיקת סטטוס בעלים וניהול זכאויות."
ניהול רכב,ניהול ענף המוניות,זכויות ציבוריות,"ניהול מספרי הזכויות המאפשרות הפעלת מונית, שיוכן לבעלים והסטטוס שלהן."
ניהול רכב,ניהול ענף המוניות,בקשות והגבלות,"קליטה, טיפול, אישור, דחייה וביטול של בקשות לזכויות מונית, כולל ניהול הגבלות, עיקולים ושעבודים על זכויות אלו."
ניהול רכב,ניהול ענף המוניות,תאגידי מוניות וקווי שירות,"ניהול חברות ותאגידים המפעילים קווי שירות, כולל מכסות, הקצאת קווים ומורשי חתימה."
ניהול רכב,סוחרי רכב,מעקב ורישוי סוחרים,"ניהול בסיס הנתונים של סוחרי רכב מורשים, כולל זהות, כתובת, מספרי מוסכים ופנקסי קבלות."
ניהול רכב,סוחרי רכב,"ניהול ""שלטים""","מעקב אחר לוחיות רישוי זמניות לסוחרים (שלטים), תוקפן, אגרות ששולמו ויומן תנועות."
ניהול רכב,סוחרי רכב,בקרות ותשלומים,"איתור חריגים כמו סוחרים עם שלט בתוקף ללא מספר מוסך, וקליטת תשלומים מסוחרים."
ניהול רכב,קריאות שירות (Recall),מעקב וניהול,"ניהול מחזור החיים של קריאות שירות יזומות מהיצרן, כולל בדיקת פעילות רכב והכנת קבצים למכתבים."
ניהול רכב,קריאות שירות (Recall),הגבלות ודיוור,"הטלת ""הגבלה 08"" על רכבים שטרם תוקנו, איתורם והפקת מכתבי התראה לבעלים."
ניהול רכב,רכבים מיוחדים,רכב מסוכן,"ניהול מעמיק ומעקב אחר כלי רכב שהוגדרו כמסוכנים, כולל תיעוד ליקויים, פרטי מוסך ותהליך ""חזרה לכשירות""."
ניהול רכב,רכבים מיוחדים,"הובלת חומרים מסוכנים (חומ""ס)","רישוי רכבים המובילים חומרים מסוכנים, תיעוד היתרים, בדיקות תקן מכלים ומספרי או""ם."
